epoch,train_loss,val_loss,val_iou
1,1.3761935030293262,1.307190090417862,0.49102258923741254
2,1.2513281901677449,1.1768119037151337,0.5690138141615975
3,1.1113426104570046,1.0505543649196625,0.6011336338845317
4,1.0013581096616566,1.0200728848576546,0.6009185794118792
5,0.961478468699333,1.0336537510156631,0.5080378048066372
6,0.9139084627485683,1.0082972049713135,0.510951610434498
7,0.8744898453736917,0.871006652712822,0.6680666400066977
8,0.8125576860884316,0.8445500582456589,0.6297617503296876
9,0.7672170935532986,0.8672168925404549,0.6773205300988017
10,0.7563800455158592,0.8550809919834137,0.6858002053651399
11,0.7345284941868905,0.844412699341774,0.6897563768668844
12,0.7267268641382201,0.793858639895916,0.6915111821781197
13,0.7077159621776679,0.7929707467556,0.6529596020836153
14,0.7052800945746593,0.8727557882666588,0.6916026887228096
15,0.7071885960733789,0.7495790868997574,0.6887859817204179
16,0.6884954403608273,0.7743578255176544,0.6629325649247121
17,0.6856127630951058,0.7402838617563248,0.6890463784759852
18,0.662986820579594,0.7311275377869606,0.7045568584806835
19,0.6516880866808769,0.7452741041779518,0.7128643365069814
20,0.6469441789847153,0.7743579000234604,0.7134422254101811
21,0.6411586857249594,0.7201327010989189,0.7118421977080992
22,0.6286147761548686,0.7146053314208984,0.7130269051043727
23,0.6176628429665525,0.7160929962992668,0.7193602714794471
24,0.6101007675513243,0.7131561636924744,0.7228767533893723
25,0.6043895579810835,0.6976037323474884,0.7228959930077041
26,0.5971387364925482,0.6899204105138779,0.7183992600094158
27,0.5975367910841591,0.7142614722251892,0.7323549533206618
28,0.5952820706571269,0.7351671159267426,0.7341386759739421
29,0.5940362510518131,0.7249843627214432,0.736307458659001
30,0.591372013092041,0.7485571801662445,0.7323998342989543
31,0.5869592097070482,0.7217312380671501,0.7327980745513243
32,0.5854407182106605,0.6595952585339546,0.7199446723626621
33,0.5775118653590863,0.6664164736866951,0.7423820151775552
34,0.5680516515022669,0.6906807124614716,0.7444115523371237
35,0.5614693057842743,0.6512487232685089,0.7449110381263222
36,0.5541745903145554,0.6463225707411766,0.7394284579816677
37,0.5493444066781265,0.6355930045247078,0.7475167235764781
38,0.5447548704269605,0.6416606083512306,0.7492645784306876
39,0.5385562099962153,0.650961622595787,0.7468997372658222
40,0.5332211337537847,0.6386483535170555,0.7554411199548416
41,0.5316126382249033,0.6272451803088188,0.7471096502576093
42,0.529190423906359,0.6535529047250748,0.7580935414435884
43,0.5247081054581536,0.6342635229229927,0.7531450428881868
44,0.522266163275792,0.6115698292851448,0.7497025942361596
45,0.5180895285219209,0.6516851335763931,0.7585889922137057
46,0.5163260705960102,0.6300471052527428,0.7589144972596338
47,0.5121048024067512,0.6109999120235443,0.7485541415403808
48,0.5122394615258926,0.6140407845377922,0.762100893717374
49,0.5063776585281404,0.6384488269686699,0.7642520028846038
50,0.5042848918173048,0.65442905575037,0.7575712975498852
